wages,education,age,sex,language,logwages
10.56,15,40,Male,English,2.357073278
11,13.2,19,Male,English,2.397895273
17.76,14,46,Male,Other,2.876948738
14,16,50,Female,English,2.63905733
8.2,15,31,Male,English,2.104134154
16.97,13.5,30,Female,English,2.831447079
6.7,12,61,Female,English,1.902107526
14,14,46,Female,Other,2.63905733
19.2,18,43,Male,English,2.954910279
7.25,11,17,Male,English,1.981001469
16,7,46,Male,Other,2.772588722
23,14,32,Male,English,3.135494216
36.11,17,35,Male,English,3.586569835
20.16,20,39,Male,English,3.003700443
12.61,13,32,Male,English,2.53449015
13.65,19,30,Female,English,2.613739522
9,13.8,20,Female,English,2.197224577
18.07,13.6,48,Male,Other,2.894253105
16.01,19,39,Female,English,2.773213527
26.4,12.7,38,Male,English,3.27336401
20.65,19,37,Male,English,3.027715319
23.04,19,37,Female,English,3.137231836
24.03,18.3,31,Male,English,3.17930305
12,14,46,Female,English,2.48490665
25.6,13,41,Male,English,3.242592351
6.85,15.6,31,Female,English,1.924248652
15,12,40,Male,English,2.708050201
9.75,8,60,Male,English,2.277267285
6.7,11,17,Female,English,1.902107526
15,17,39,Male,English,2.708050201
10.5,13.5,24,Male,English,2.351375257
13.26,12,52,Female,English,2.584751985
17.75,18,34,Male,English,2.876385516
14.26,12,34,Female,English,2.657458415
18.05,15,34,Male,English,2.893145685
18.39,9,40,Male,English,2.911807039
18.92,10.5,48,Male,English,2.940219564
20.64,19,39,Male,English,3.027230941
15.49,14,33,Female,English,2.740194654
10.4,13,62,Female,English,2.341805806
15.39,15,28,Female,English,2.733717948
16.8,12.5,36,Male,English,2.821378886
15.36,20,47,Female,English,2.731766728
17.98,12,53,Female,English,2.889260029
6.7,14,20,Male,English,1.902107526
5,11,17,Male,Other,1.609437912
12,12.8,20,Male,English,2.48490665
6.66,15.5,31,Female,English,1.896119485
14,13.5,53,Female,Other,2.63905733
25.6,14,34,Male,English,3.242592351
18.43,17,28,Male,Other,2.913979772
11.5,12,48,Female,Other,2.442347035
14,8,27,Male,English,2.63905733
6.03,14,22,Male,Other,1.796747011
8.23,13,45,Female,English,2.107786015
15.36,11,51,Female,French,2.731766728
13.75,8.5,57,Male,English,2.621038824
7.44,9,34,Male,English,2.006870849
24.96,18,44,Female,English,3.217274544
33.18,20,54,Male,English,3.501947285
11.59,13.4,26,Male,English,2.450142657
14.09,14,33,Male,English,2.645465326
23.52,13,32,Male,English,3.157851123
15.84,12,48,Male,English,2.762538386
23.72,9.5,50,Male,English,3.166318574
8.37,12.5,65,Female,English,2.124653885
10.2,12,26,Female,English,2.32238772
7.61,14,23,Female,English,2.029463172
6.75,10,21,Male,English,1.909542505
25.91,14,35,Female,English,3.254628995
15.94,13.2,35,Female,English,2.768831673
6.71,13,28,Male,English,1.903598951
20.79,12,34,Female,English,3.034472102
8.75,12,49,Female,English,2.1690537
20.99,14,47,Male,English,3.044046134
